Município,rate,id,codigo_uf
Alta Floresta D'Oeste,12.0,1100001,11
Alto Alegre dos Parecis,14.5,1100037,11
Alto Paraíso,13.5,1100040,11
Alvorada D'Oeste,13.3,1100034,11
Ariquemes,7.9,1100002,11
Buritis,11.1,1100045,11
Cabixi,13.8,1100003,11
Cacaulândia,13.7,1100060,11
Cacoal,8.3,1100004,11
Campo Novo de Rondônia,11.3,1100070,11
Candeias do Jamari,11.5,1100080,11
Castanheiras,13.1,1100090,11
Cerejeiras,10.4,1100005,11
Chupinguaia,10.8,1100092,11
Colorado do Oeste,12.9,1100006,11
Corumbiara,12.0,1100007,11
Costa Marques,9.1,1100008,11
Cujubim,13.0,1100094,11
Espigão D'Oeste,9.4,1100009,11
Governador Jorge Teixeira,14.4,1100100,11
Guajará-Mirim,9.0,1100010,11
Itapuã do Oeste,12.3,1100110,11
Jaru,10.6,1100011,11
Ji-Paraná,7.6,1100012,11
Machadinho D'Oeste,12.7,1100013,11
Ministro Andreazza,12.0,1100120,11
Mirante da Serra,13.1,1100130,11
Monte Negro,13.9,1100140,11
Nova Brasilândia D'Oeste,11.2,1100014,11
Nova Mamoré,12.6,1100033,11
Nova União,14.3,1100143,11
Novo Horizonte do Oeste,14.4,1100050,11
Ouro Preto do Oeste,10.0,1100015,11
Parecis,15.4,1100145,11
Pimenta Bueno,8.0,1100018,11
Pimenteiras do Oeste,8.9,1100146,11
Porto Velho,5.2,1100020,11
Presidente Médici,11.5,1100025,11
Primavera de Rondônia,14.9,1100147,11
Rio Crespo,11.4,1100026,11
Rolim de Moura,8.9,1100028,11
Santa Luzia D'Oeste,13.4,1100029,11
São Felipe D'Oeste,16.9,1100148,11
São Francisco do Guaporé,9.1,1100149,11
São Miguel do Guaporé,10.3,1100032,11
Seringueiras,11.0,1100150,11
Teixeirópolis,11.9,1100155,11
Theobroma,14.5,1100160,11
Urupá,14.8,1100170,11
Vale do Anari,15.5,1100175,11
Vale do Paraíso,11.7,1100180,11
Vilhena,6.3,1100030,11
Acrelândia,15.9,1200001,12
Assis Brasil,20.4,1200005,12
Brasiléia,20.3,1200010,12
Bujari,25.1,1200013,12
Capixaba,21.8,1200017,12
Cruzeiro do Sul,18.7,1200020,12
Epitaciolândia,15.7,1200025,12
Feijó,36.8,1200030,12
